Country;Score;Property Rights;Judicial Effectiveness;Government Integrity;Tax Burden;Government Spending;Fiscal Health;Business Freedom;Labor Freedom;Monetary Freedom;Trade Freedom;Investment Freedom;Financial Freedom
Togo;52.3;37;37.1;31.6;70.5;81.6;21.7;59.9;51.9;69.8;66.8;60;40
Tonga;58.5;67.9;65.7;45.8;84.9;28.9;96.3;59.5;56.6;61;75.4;40;20
Trinidad and Tobago;63.6;58.3;58.5;44.7;79.5;74.5;80.9;72.6;60.4;76.3;67.6;50;40
Tunisia;49.1;59.3;39.7;41.3;79.4;63.1;6.4;56.8;56;71.3;56.2;30;30
Turkey;56.1;40.6;23.8;34.3;72.2;71.9;82.3;58.5;48.4;37.9;72.8;70;60
Turkmenistan;47.1;17.7;8.2;7.3;94.2;96.7;100;37.4;33.9;75.1;74.2;10;10
Uganda;51.3;47.4;29.2;24.1;73.6;87.7;35.5;50.3;54.8;75.1;57.4;40;40
United Arab Emirates;71.6;65.4;35.2;65.9;96.9;82.3;97.9;84.2;62.1;80.5;78.4;50;60
United Kingdom;69.3;95.2;84.8;83.4;61;40.1;19;83.4;63.2;67.9;83.4;70;80
United States;70.2;95.4;76.6;77.3;75.6;55.8;0;88.5;77;70.7;75.6;70;80
Uruguay;70.2;86;81.8;77.5;77.3;72.3;79.6;84;61.8;68.5;73;50;30
Uzbekistan;58;33.5;14.5;31.2;92.8;73.6;73.3;64.4;47.9;64.6;80.6;60;60
Vanuatu;61.8;61.4;71.3;48.1;97.6;43.1;85.4;55.5;48.8;65.7;59.4;65;40
Venezuela;27.6;0.7;4.1;6.7;75.9;93.8;29.1;32.5;35.9;0;42.2;0;10
Vietnam;65.2;49.9;35;39.1;81.8;88.8;95.8;73.9;54.5;73.9;79.8;60;50
Zambia;50.9;45.8;45.3;36.7;74.7;75;0;45.9;48.7;68.2;65.8;55;50
Zimbabwe;35.1;20.7;15.8;20.7;73.6;87.6;44.4;39.3;33.2;0;50.4;25;10
